state,value
Brisbane - North,3930063
Brisbane - West,38332521
Brisbane Inner City,6971406
Cairns,6626624
Darling Downs - Maranoa,6626624
Fitzroy,2354304
Gold Coast,38332521
Mackay,12773801
Moreton Bay - North,6495978
Moreton Bay - South,26448193
Queensland - Outback,5420380
Sunshine Coast,582658
Toowoomba,3615086
Townsville,1328302
Wide Bay,5420380
