Categories,Satisfactory_score
Overall Service,71.07
Safety & Security,79.35
Reliability & Frequency,65.81
Comfort,74.72
Ease of Use,78.69
Ease of using,79.68
Proximity,73.64
Efficiency,68.91
Information,68.82
Accessibility,79.27
Staff,78.78
Affordability,58.68
