Categories,Satisfactory_score,P,N
4000,76,10,20
4001,21,5,1
4072,16,3,4
4006,7,3,1
4212,5,4,0
4064,5,1,0
4067,5,0,1
4029,5,1,0
4673,4,4,0
4051,4,0,1
4214,4,1,0
4059,4,0,1
